Country,Date,Cases,Deaths,Tests,Cases/Population,Deaths/Cases,Tests/Cases
United States,2020-09-03,6154061.0,186908.0,94458729.0,0.01875094759293114,0.030371489655367408,15.349007590272505
United States,2020-09-04,6204443.0,187865.0,95457346.0,0.018904457647775746,0.03027910805208461,15.385320809619817
United States,2020-09-05,6247601.0,188622.0,96273303.0,0.019035956733698962,0.030191108555107794,15.409643317490985
United States,2020-09-06,6278819.0,189091.0,96838514.0,0.019131075563680683,0.030115695324232153,15.423045958165062
United States,2020-09-07,6302432.0,189405.0,97252753.0,0.019203022547227302,0.03005268442404456,15.430988069367508
United States,2020-09-08,6329658.0,189862.0,97915636.0,0.019285978062157223,0.02999561745674095,15.469340681597647
United States,2020-09-09,6363707.0,191020.0,98873783.0,0.019389722730042656,0.030017095381669835,15.537136294929983
United States,2020-09-10,6399763.0,191942.0,99960722.0,0.01949958257160268,0.029992048143032798,15.619441219932675
United States,2020-09-11,6447532.0,193096.0,101060236.0,0.01964513101767215,0.02994882382902481,15.6742511708356
United States,2020-09-12,6488633.0,193806.0,101925469.0,0.019770362583790373,0.029868540877562345,15.70831159660286
United States,2020-09-13,6523005.0,194234.0,102552819.0,0.019875091407678246,0.029776766996192704,15.72171399531351
United States,2020-09-14,6557428.0,194668.0,103260908.0,0.019979975624619135,0.02968663933481237,15.74716611451929
United States,2020-09-15,6596920.0,195867.0,104227335.0,0.020100304692260818,0.02969067382960533,15.799393504847718
United States,2020-09-16,6635950.0,196824.0,105366141.0,0.020219226081657524,0.029660259646320422,15.878079400839367
United States,2020-09-17,6681080.0,197681.0,106523493.0,0.020356733698964045,0.02958818035407449,15.94405290761374
United States,2020-09-18,6730362.0,198570.0,107752172.0,0.02050689213893967,0.029503613624348883,16.009862768154225
United States,2020-09-19,6772564.0,199300.0,108690232.0,0.020635478366849484,0.029427555058911217,16.048609064454762
United States,2020-09-20,6811011.0,199567.0,109314090.0,0.02075262340036563,0.029300642738647756,16.049612898878006
United States,2020-09-21,6862889.0,199991.0,110063465.0,0.020910691651432053,0.02914093467051558,16.03748290260851
United States,2020-09-22,6902755.0,201019.0,111092122.0,0.02103216026812919,0.02912156088402384,16.09388164580664
United States,2020-09-23,6941824.0,202081.0,112296226.0,0.021151200487507616,0.029110648728633857,16.176760747607545
United States,2020-09-24,6988927.0,202979.0,113498080.0,0.02129471968312005,0.029042941784912048,16.239700314511797
United States,2020-09-25,7037222.0,203920.0,114627155.0,0.021441870810481413,0.028977343616557783,16.288693890856365
United States,2020-09-26,7081895.0,204689.0,115565881.0,0.021577985984156004,0.028903139625764008,16.318496814764973
United States,2020-09-27,7119423.0,205004.0,116163208.0,0.021692330895795246,0.028795030159045193,16.316379571771478
United States,2020-09-28,7152717.0,205360.0,116830539.0,0.021793775137111518,0.028710768229751018,16.33372870756665
United States,2020-09-29,7196055.0,206223.0,117815008.0,0.021925822669104204,0.0286577854115901,16.37216613825214
United States,2020-09-30,7235498.0,207177.0,119016038.0,0.022046002437538088,0.028633412655217374,16.448907594197387
United States,2020-10-01,7281148.0,208046.0,120240482.0,0.022185094454600852,0.028573241472361226,16.51394560308347
United States,2020-10-02,7336098.0,208901.0,121432780.0,0.022352522851919562,0.028475764636731953,16.552775058348455
