Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
2020-12-23,535204.0,14752.0,17140068.0,1.4237935621175846,0.018347964884277923,2.7563321649315027,3202.5298764583226
2020-12-24,541936.0,14902.0,17269154.0,1.4417025804735302,0.017909018355945605,2.749771190694104,3186.567048507573
2020-12-25,545983.0,14966.0,17405025.0,1.4524687416866187,0.010766161213088488,2.7411109869721217,3187.832771350024
2020-12-26,551184.0,15051.0,17533075.0,1.4663048683160416,0.013836126629422907,2.7306670730645304,3180.984027112543
2020-12-27,556649.0,15171.0,17632876.0,1.4808433093907953,0.014538441074753772,2.7254158365505012,3167.6830462284133
2020-12-28,563156.0,15328.0,17708419.0,1.4981537642990157,0.017310454908220363,2.7218035499932522,3144.4961964358013
2020-12-29,571823.0,15528.0,17786792.0,1.5212104283054004,0.02305666400638473,2.7155256084487682,3110.541548696013
2020-12-30,580573.0,15650.0,17864192.0,1.5444878957169461,0.023277467411545683,2.6956127825441416,3076.9932463273353
2020-12-31,587429.0,15762.0,17965095.0,1.5627267890396381,0.018238893322692018,2.683217886757378,3058.2581043836785
2021-01-01,591149.0,15806.0,18097623.0,1.5726230380420325,0.009896249002394386,2.6737759854114618,3061.431720260036
2021-01-02,598091.0,15914.0,18229970.0,1.5910907156158554,0.018467677573822838,2.660799109165662,3048.026136490935
2021-01-03,608734.0,16006.0,18342575.0,1.6194040968342645,0.028313381218409095,2.6293914911931977,3013.233202022558
2021-01-04,618801.0,16247.0,18430711.0,1.6461851556264964,0.026781058792231915,2.6255613678710925,2978.4552707574812
2021-01-05,626129.0,16389.0,18514140.0,1.665679702048417,0.019494546421920722,2.6175117268166783,2956.9210178733138
2021-01-06,634437.0,16539.0,18597612.0,1.687781324820431,0.022101622772013885,2.6068782243154165,2931.356777741525
2021-01-07,642978.0,16704.0,18716320.0,1.7105027932960895,0.02272146847565848,2.597911592620587,2910.8803100572645
2021-01-08,652373.0,16846.0,18851810.0,1.7354961425911146,0.02499334929502517,2.582265053887883,2889.728728810052
2021-01-09,659647.0,16984.0,18998073.0,1.7548470337855813,0.019350891194466646,2.574710413296809,2880.036292138068
2021-01-10,666375.0,17074.0,19139670.0,1.7727454110135674,0.01789837722798615,2.562220971675108,2872.207090602138
2021-01-11,674624.0,17199.0,19260709.0,1.7946900771481775,0.021944666134610102,2.5494201214306043,2855.0287271131774
2021-01-12,681015.0,17359.0,19355884.0,1.8116919393455708,0.017001862197393303,2.5489893761517735,2842.211111355844
2021-01-13,688097.0,17539.0,19449427.0,1.8305320563979783,0.018840117052407512,2.5489138885941953,2826.5530877187375
2021-01-14,695359.0,17686.0,19569464.0,1.849851024208566,0.019318967810587617,2.5434343986343744,2814.2965000812533
2021-01-15,702203.0,17856.0,19713708.0,1.8680579941473798,0.018206969938813877,2.542854416742737,2807.408683813655
2021-01-16,708263.0,17978.0,19860051.0,1.8841793030061185,0.016121308858738637,2.5383226287410183,2804.050331585866
2021-01-17,714316.0,18106.0,20001761.0,1.9002819898909284,0.01610268688480998,2.5347325273408408,2800.127814580662
2021-01-18,720440.0,18231.0,20122360.0,1.9165735567970206,0.016291566906092125,2.5305368941202597,2793.0653489534175
2021-01-19,725599.0,18382.0,20205977.0,1.9302979515828675,0.013724394785846972,2.533355200324146,2784.7305467620545
2021-01-20,731371.0,18567.0,20285433.0,1.9456530992285181,0.015355147645650602,2.5386568513107575,2773.6173569911853
2021-01-21,737654.0,18706.0,20407889.0,1.962367650971003,0.01671455174248493,2.5358772541055834,2766.593687555412
2021-01-22,743384.0,18887.0,20546199.0,1.977611066773078,0.015243415802074889,2.5406788416215575,2763.8742561045165
2021-01-23,748123.0,18992.0,20688427.0,1.9902181431231711,0.012607076350093172,2.5386199862856778,2765.3777520541407
2021-01-24,752510.0,19119.0,20817447.0,2.001888800212823,0.011670657089651648,2.540697133592909,2766.4013767258907
2021-01-25,758142.0,19245.0,20924370.0,2.016871508379888,0.014982708167065262,2.538442666413416,2759.953940027066
2021-01-26,762368.0,19392.0,21001832.0,2.0281138600691673,0.011242351689279229,2.5436534586971122,2754.815522162525
2021-01-27,766633.0,19485.0,21078482.0,2.039459962756052,0.011346102686884851,2.5416333499862387,2749.4879557754493
2021-01-28,771358.0,19676.0,21201895.0,2.052029795158287,0.012569832402234749,2.5508259459291276,2748.645246435507
2021-01-29,776171.0,19825.0,21334846.0,2.064833732375632,0.012803937217344963,2.554205194473898,2748.730112307726
2021-01-30,780147.0,19958.0,21471772.0,2.075411013567438,0.010577281191806343,2.5582358196596284,2752.272584525737
2021-01-31,783735.0,20041.0,21593178.0,2.0849561053471666,0.009545091779728399,2.5571143307367925,2755.163161017436
2021-02-01,788323.0,20145.0,21695238.0,2.0971614791167865,0.012205373769619943,2.555424616559456,2752.0747206411584
2021-02-02,791385.0,20242.0,21765562.0,2.1053072625698324,0.00814578345304584,2.5577942467951758,2750.3126796691877
2021-02-03,794681.0,20361.0,21837984.0,2.114075552008513,0.008768289438680466,2.5621601623796213,2748.0188905988693
2021-02-04,798650.0,20486.0,21947836.0,2.12463421122639,0.010558659217877242,2.565078570087022,2748.116947348651
2021-02-05,802904.0,20607.0,22072745.0,2.135951050811386,0.011316839584996075,2.566558393033289,2749.113841754431
2021-02-06,806010.0,20700.0,22196761.0,2.144213886671987,0.008262835860600948,2.568206349797149,2753.9064031463627
2021-02-07,808973.0,20760.0,22318959.0,2.152096302208034,0.00788241553604685,2.5662166722498774,2758.92508155402
2021-02-08,812700.0,20830.0,22418263.0,2.1620111731843576,0.009914870976323709,2.5630614002707026,2758.491817398794
2021-02-09,815526.0,20914.0,22484611.0,2.1695291300877892,0.0075179569034316,2.5644798571719356,2757.0685667900225
2021-02-10,818967.0,21007.0,22557097.0,2.178683160415004,0.009154030327214624,2.5650606190481424,2754.335278466654
2021-02-11,822038.0,21089.0,22671229.0,2.186852886405959,0.008169725990955001,2.5654531785635215,2757.929560433946
2021-02-12,824754.0,21168.0,22800850.0,2.1940782122905027,0.007225325884543832,2.5665834903498497,2764.563736580847
2021-02-13,828335.0,21238.0,22922404.0,2.2036046820963024,0.009526469805799742,2.563938503141845,2767.2866654191844
2021-02-14,830352.0,21261.0,23040160.0,2.2089704708699123,0.005365788773609825,2.5604803745881264,2774.746131760988
2021-02-15,832058.0,21298.0,23138775.0,2.213508911944666,0.004538441074753763,2.559677330186117,2780.9089029851284
2021-02-16,836455.0,21395.0,23209222.0,2.2252061718542167,0.011697259909550617,2.5578184122277947,2774.712566725048
2021-02-17,838998.0,21439.0,23277743.0,2.2319712689545095,0.006765097100292827,2.555310024576936,2774.46942662557
2021-02-18,842393.0,21509.0,23366022.0,2.241002926310189,0.009031657355679457,2.553321312024198,2773.7673508683
2021-02-19,845454.0,21581.0,23486748.0,2.249146049481245,0.008143123171056033,2.5525930446836846,2778.0042438737055
2021-02-20,848060.0,21631.0,23616086.0,2.2560787443469006,0.00693269486565562,2.55064500153291,2784.718769898356
